time,Open,High,Low,Close,Volume,spread,real_volume,Spread_Price
2026-08-18 20:25:00,4356.85,4360.8,4356.3,4360.11,2006,41,0,0.41000000000000003
2026-08-18 20:30:00,4360.14,4360.45,4357.84,4359.57,1704,41,0,0.41000000000000003
2026-08-18 20:35:00,4359.59,4360.15,4358.22,4359.5,1595,41,0,0.41000000000000003
2026-08-18 20:40:00,4359.53,4359.67,4353.33,4354.13,1805,43,0,0.43
2026-08-18 20:45:00,4354.12,4355.45,4352.71,4353.74,1615,41,0,0.41000000000000003
2026-08-18 20:50:00,4353.75,4355.07,4353.72,4354.51,1078,41,0,0.41000000000000003
2026-08-18 20:55:00,4354.52,4355.96,4353.77,4354.12,1478,41,0,0.41000000000000003
2026-08-18 21:00:00,4354.17,4357.92,4353.95,4355.25,1661,43,0,0.43
2026-08-18 21:05:00,4355.1,4356.84,4354.67,4355.1,1215,41,0,0.41000000000000003
2026-08-18 21:10:00,4355.1,4358.3,4354.5,4356.91,1699,41,0,0.41000000000000003
2026-08-18 21:15:00,4356.91,4358.58,4353.9,4354.49,1614,41,0,0.41000000000000003
2026-08-18 21:20:00,4354.49,4356.27,4352.51,4353.12,1651,41,0,0.41000000000000003
2026-08-18 21:25:00,4353.09,4355.73,4352.33,4354.68,1640,41,0,0.41000000000000003
2026-08-18 21:30:00,4354.68,4356.59,4353.48,4353.93,1774,41,0,0.41000000000000003
2026-08-18 21:35:00,4353.93,4355.37,4353.34,4354.75,1525,41,0,0.41000000000000003
2026-08-18 21:40:00,4354.73,4357.5,4349.48,4349.69,2208,41,0,0.41000000000000003
2026-08-18 21:45:00,4349.71,4353.13,4343.69,4345.87,3251,43,0,0.43
2026-08-18 21:50:00,4345.87,4346.77,4341.94,4345.16,3800,45,0,0.45
2026-08-18 21:55:00,4345.18,4346.2,4338.16,4345.44,4130,44,0,0.44
2026-08-18 22:00:00,4345.45,4346.36,4342.63,4343.78,1425,42,0,0.42
2026-08-18 22:05:00,4343.79,4344.31,4342.43,4342.81,830,41,0,0.41000000000000003
2026-08-18 22:10:00,4342.81,4343.41,4340.63,4341.93,876,41,0,0.41000000000000003
2026-08-18 22:15:00,4341.92,4342.23,4339.72,4341.73,780,42,0,0.42
2026-08-18 22:20:00,4341.73,4341.76,4333.37,4337.59,1454,43,0,0.43
2026-08-18 22:25:00,4337.58,4338.4,4336.4,4337.73,722,41,0,0.41000000000000003
